,Timestamp,Total_Confirmed_Cases,Total_Deaths,American Market,IBM_High,IBM_Low,Canadian Market,SHOP_High,SHOP_Low,Travel,LUV_High,LUV_Low,Real Estate,KIM_High,KIM_Low,Metal,SIL_High,SIL_Low
0,2020-01-22,557,17,IBM,145.79,142.55,SHOP,145.79,142.55,LUV,54.28,53.46,KIM,20.56,20.31,Silver,31.64,31.26
1,2020-01-23,655,18,IBM,144.41,142.15,SHOP,144.41,142.15,LUV,55.46,51.85,KIM,20.48,20.24,Silver,31.7,31.15
2,2020-01-24,941,26,IBM,143.92,140.46,SHOP,143.92,140.46,LUV,56.56,54.96,KIM,20.51,20.28,Silver,31.78,31.11
3,2020-01-25,1433,42,IBM,,,SHOP,,,LUV,,,KIM,,,Silver,,
4,2020-01-26,2118,56,IBM,,,SHOP,,,LUV,,,KIM,,,Silver,,
5,2020-01-27,2927,82,IBM,140.07,138.1,SHOP,140.07,138.1,LUV,56.66,55.15,KIM,20.41,20.09,Silver,32.17,31.03
6,2020-01-28,5578,131,IBM,140.47,138.75,SHOP,140.47,138.75,LUV,57.73,56.39,KIM,20.3,20.08,Silver,31.03,30.19
7,2020-01-29,6167,133,IBM,139.58,137.6,SHOP,139.58,137.6,LUV,58.1902,56.82,KIM,20.31,20.06,Silver,30.8903,30.18
8,2020-01-30,8235,171,IBM,136.97,134.97,SHOP,136.97,134.97,LUV,56.47,55.22,KIM,19.99,19.02,Silver,31.1349,30.5682
9,2020-01-31,9927,213,IBM,144.05,140.79,SHOP,144.05,140.79,LUV,55.92,54.63,KIM,19.35,18.91,Silver,31.32,30.67
10,2020-02-01,12038,259,IBM,,,SHOP,,,LUV,,,KIM,,,Silver,,
11,2020-02-02,16787,362,IBM,,,SHOP,,,LUV,,,KIM,,,Silver,,
12,2020-02-03,19887,426,IBM,147.28,143.9,SHOP,147.28,143.9,LUV,55.734,54.69,KIM,19.5,18.99,Silver,30.99,30.31
13,2020-02-04,23898,492,IBM,149.38,146.88,SHOP,149.38,146.88,LUV,56.365,55.5,KIM,19.63,19.18,Silver,30.29,29.75
14,2020-02-05,27643,564,IBM,157.44,150.15,SHOP,157.44,150.15,LUV,57.23,56.12,KIM,19.825,19.4,Silver,30.66,30.1
15,2020-02-06,30803,634,IBM,158.75,155.42,SHOP,158.75,155.42,LUV,58.01,57.075,KIM,19.9,19.61,Silver,31.25,30.7
16,2020-02-07,34396,719,IBM,155.54,152.92,SHOP,155.54,152.92,LUV,57.71,56.99,KIM,19.81,19.54,Silver,31.62,30.57
17,2020-02-08,37130,806,IBM,,,SHOP,,,LUV,,,KIM,,,Silver,,
18,2020-02-09,40160,906,IBM,,,SHOP,,,LUV,,,KIM,,,Silver,,
19,2020-02-10,42769,1013,IBM,154.44,151.58,SHOP,154.44,151.58,LUV,57.49,56.53,KIM,19.84,19.53,Silver,30.89,30.56
20,2020-02-11,44811,1113,IBM,155.22,152.73,SHOP,155.22,152.73,LUV,58.585,57.59,KIM,19.8,19.05,Silver,31.1,30.63
21,2020-02-12,45229,1118,IBM,155.6,153.52,SHOP,155.6,153.52,LUV,58.655,58.0,KIM,19.1,18.56,Silver,30.82,30.4
22,2020-02-13,60382,1371,IBM,154.83,153.41,SHOP,154.83,153.41,LUV,58.685,57.845,KIM,19.09,18.69,Silver,30.94,30.55
23,2020-02-14,66909,1523,IBM,154.56,149.77,SHOP,154.56,149.77,LUV,58.83,57.89,KIM,19.32,18.86,Silver,31.0,30.65
24,2020-02-15,69052,1666,IBM,,,SHOP,,,LUV,,,KIM,,,Silver,,
25,2020-02-16,71235,1770,IBM,,,SHOP,,,LUV,,,KIM,,,Silver,,
26,2020-02-17,73270,1868,IBM,,,SHOP,,,LUV,,,KIM,,,Silver,,
27,2020-02-18,75152,2008,IBM,151.38,149.64,SHOP,151.38,149.64,LUV,58.34,57.38,KIM,19.29,18.95,Silver,32.0,31.01
28,2020-02-19,75652,2123,IBM,151.89,150.31,SHOP,151.89,150.31,LUV,57.74,57.06,KIM,19.13,18.51,Silver,32.75,32.17
29,2020-02-20,76212,2248,IBM,151.62,149.51,SHOP,151.62,149.51,LUV,57.51,56.71,KIM,18.97,18.46,Silver,32.91,32.27
30,2020-02-21,76841,2252,IBM,151.04,148.84,SHOP,151.04,148.84,LUV,56.8,55.46,KIM,19.17,18.85,Silver,33.12,32.77
31,2020-02-22,78602,2459,IBM,,,SHOP,,,LUV,,,KIM,,,Silver,,
32,2020-02-23,78982,2470,IBM,,,SHOP,,,LUV,,,KIM,,,Silver,,
33,2020-02-24,79546,2630,IBM,148.05,145.38,SHOP,148.05,145.38,LUV,54.99,53.3529,KIM,19.09,18.83,Silver,33.74,32.25
34,2020-02-25,80399,2710,IBM,147.07,141.26,SHOP,147.07,141.26,LUV,54.5,49.55,KIM,19.07,18.52,Silver,32.86,31.75
35,2020-02-26,81376,2771,IBM,144.06,139.6,SHOP,144.06,139.6,LUV,50.48,48.08,KIM,18.69,18.27,Silver,32.08,31.47
36,2020-02-27,82736,2814,IBM,138.69,133.01,SHOP,138.69,133.01,LUV,49.2057,45.64,KIM,18.45,17.54,Silver,32.0,29.4
37,2020-02-28,84122,2873,IBM,131.09,126.36,SHOP,131.09,126.36,LUV,46.77,44.98,KIM,17.52,16.79,Silver,28.59,26.25
38,2020-02-29,86013,2942,IBM,,,SHOP,,,LUV,,,KIM,,,Silver,,
39,2020-03-01,88394,2996,IBM,,,SHOP,,,LUV,,,KIM,,,Silver,,
40,2020-03-02,90377,3085,IBM,134.44,127.95,SHOP,134.44,127.95,LUV,47.18,44.34,KIM,17.87,16.99,Silver,28.45,27.52
41,2020-03-03,92971,3160,IBM,136.1,127.8,SHOP,136.1,127.8,LUV,48.3934,45.05,KIM,18.24,17.58,Silver,30.24,28.42
42,2020-03-04,95279,3255,IBM,134.28,129.0,SHOP,134.28,129.0,LUV,47.065,44.855,KIM,18.39,17.92,Silver,29.82,28.9
43,2020-03-05,98090,3349,IBM,132.29,128.45,SHOP,132.29,128.45,LUV,45.7,44.18,KIM,18.13,17.7,Silver,29.89,29.14
44,2020-03-06,102003,3460,IBM,128.33,124.52,SHOP,128.33,124.52,LUV,46.8,42.72,KIM,17.45,16.92,Silver,29.61,28.53
45,2020-03-07,106098,3564,IBM,,,SHOP,,,LUV,,,KIM,,,Silver,,
46,2020-03-08,110047,3803,IBM,,,SHOP,,,LUV,,,KIM,,,Silver,,
47,2020-03-09,114219,3993,IBM,122.41,117.28,SHOP,122.41,117.28,LUV,45.61,42.72,KIM,16.52,15.56,Silver,28.42,26.61
48,2020-03-10,119041,4267,IBM,124.88,115.76,SHOP,124.88,115.76,LUV,45.85,42.51,KIM,16.22,15.32,Silver,27.85,26.68
49,2020-03-11,126702,4611,IBM,122.58,116.38,SHOP,122.58,116.38,LUV,44.38,41.63,KIM,15.8,14.82,Silver,27.4,25.09
50,2020-03-12,132492,4917,IBM,109.8,102.28,SHOP,109.8,102.28,LUV,40.6,35.6101,KIM,13.9,10.0,Silver,24.49,21.03
51,2020-03-13,146876,5414,IBM,109.16,100.81,SHOP,109.16,100.81,LUV,41.28,36.31,KIM,13.61,12.47,Silver,23.75,18.51
52,2020-03-14,157950,5834,IBM,,,SHOP,,,LUV,,,KIM,,,Silver,,
53,2020-03-15,169219,6475,IBM,,,SHOP,,,LUV,,,KIM,,,Silver,,
54,2020-03-16,184027,7153,IBM,107.41,95.0,SHOP,107.41,95.0,LUV,39.45,35.85,KIM,12.41,10.57,Silver,21.84,16.0
55,2020-03-17,199970,7967,IBM,107.4,97.1,SHOP,107.4,97.1,LUV,40.69,36.0,KIM,11.07,10.0,Silver,24.68,20.0
56,2020-03-18,219535,8874,IBM,106.93,99.4,SHOP,106.93,99.4,LUV,36.42,29.15,KIM,10.25,9.3,Silver,23.65,20.5
57,2020-03-19,246584,9985,IBM,103.69,98.24,SHOP,103.69,98.24,LUV,35.05,30.5,KIM,10.9,9.01,Silver,23.52,19.44
58,2020-03-20,277359,11470,IBM,100.99,94.71,SHOP,100.99,94.71,LUV,33.95,29.65,KIM,11.32,10.07,Silver,22.72,20.75
59,2020-03-21,309350,13192,IBM,,,SHOP,,,LUV,,,KIM,,,Silver,,
60,2020-03-22,344205,14877,IBM,,,SHOP,,,LUV,,,KIM,,,Silver,,
61,2020-03-23,387040,16826,IBM,97.74,90.56,SHOP,97.74,90.56,LUV,34.49,30.25,KIM,10.63,9.12,Silver,22.69,20.76
62,2020-03-24,428219,19116,IBM,106.04,99.26,SHOP,106.04,99.26,LUV,39.13,36.05,KIM,10.56,9.75,Silver,26.79,23.82
63,2020-03-25,479220,21926,IBM,112.48,102.83,SHOP,112.48,102.83,LUV,41.7262,37.31,KIM,12.07,10.06,Silver,26.88,24.62
64,2020-03-26,542097,24962,IBM,113.15,105.57,SHOP,113.15,105.57,LUV,43.56,40.06,KIM,11.79,10.6,Silver,27.49,25.61
65,2020-03-27,607138,28450,IBM,111.5,107.65,SHOP,111.5,107.65,LUV,40.135,36.1,KIM,10.88,10.29,Silver,25.8,24.15
66,2020-03-28,674418,32180,IBM,,,SHOP,,,LUV,,,KIM,,,Silver,,
67,2020-03-29,733655,35699,IBM,,,SHOP,,,LUV,,,KIM,,,Silver,,
68,2020-03-30,798949,39780,IBM,113.46,107.81,SHOP,113.46,107.81,LUV,37.15,34.5,KIM,10.47,9.56,Silver,25.37,23.5
69,2020-03-31,875794,44528,IBM,113.81,110.17,SHOP,113.81,110.17,LUV,37.47,34.95,KIM,10.11,9.27,Silver,24.91,23.68
70,2020-04-01,958586,50527,IBM,109.92,104.52,SHOP,109.92,104.52,LUV,34.2,31.81,KIM,9.0,8.25,Silver,24.14,23.14
71,2020-04-02,1041649,56414,IBM,110.32,105.14,SHOP,110.32,105.14,LUV,32.84,30.87,KIM,8.46,7.45,Silver,25.07,23.8
72,2020-04-03,1125200,62574,IBM,110.07,104.92,SHOP,110.07,104.92,LUV,31.88,29.73,KIM,8.14,7.52,Silver,24.77,23.71
73,2020-04-04,1183589,68490,IBM,,,SHOP,,,LUV,,,KIM,,,Silver,,
74,2020-04-05,1256181,73676,IBM,,,SHOP,,,LUV,,,KIM,,,Silver,,
75,2020-04-06,1329324,79614,IBM,115.63,110.13,SHOP,115.63,110.13,LUV,31.96,30.0,KIM,8.84,8.14,Silver,25.73,24.24
76,2020-04-07,1399153,87875,IBM,119.57,114.87,SHOP,119.57,114.87,LUV,35.43,32.32,KIM,10.26,9.13,Silver,26.34,25.17
77,2020-04-08,1482508,94681,IBM,119.96,115.07,SHOP,119.96,115.07,LUV,34.78,32.63,KIM,9.69,9.05,Silver,25.8,25.31
78,2020-04-09,1569527,102464,IBM,122.92,120.17,SHOP,122.92,120.17,LUV,37.31,35.13,KIM,11.24,10.18,Silver,28.1,26.36
79,2020-04-10,1655062,109842,IBM,,,SHOP,,,LUV,,,KIM,,,Silver,,
80,2020-04-11,1729373,116015,IBM,,,SHOP,,,LUV,,,KIM,,,Silver,,
81,2020-04-12,1849067,121873,IBM,,,SHOP,,,LUV,,,KIM,,,Silver,,
82,2020-04-13,1919799,127843,IBM,121.8,118.04,SHOP,121.8,118.04,LUV,36.72,33.75,KIM,10.84,10.12,Silver,29.37,26.83
83,2020-04-14,2003766,134812,IBM,125.18,122.62,SHOP,125.18,122.62,LUV,36.05,34.71,KIM,11.1,10.55,Silver,31.15,29.06
84,2020-04-15,2080914,143278,IBM,120.19,116.76,SHOP,120.19,116.76,LUV,35.26,32.52,KIM,10.15,9.58,Silver,29.27,27.82
85,2020-04-16,2176465,150537,IBM,119.75,114.42,SHOP,119.75,114.42,LUV,32.35,30.2,KIM,9.61,8.41,Silver,29.49,28.34
86,2020-04-17,2264462,158930,IBM,120.39,117.92,SHOP,120.39,117.92,LUV,32.95,30.9,KIM,9.55,8.79,Silver,29.04,28.0
87,2020-04-18,2341702,165082,IBM,,,SHOP,,,LUV,,,KIM,,,Silver,,
88,2020-04-19,2418307,170314,IBM,,,SHOP,,,LUV,,,KIM,,,Silver,,
89,2020-04-20,2494325,176188,IBM,122.86,118.14,SHOP,122.86,118.14,LUV,31.48,29.51,KIM,8.89,8.33,Silver,29.44,28.33
90,2020-04-21,2570074,183463,IBM,117.15,112.06,SHOP,117.15,112.06,LUV,31.23,29.6,KIM,8.54,8.03,Silver,29.05,27.63
91,2020-04-22,2651321,190319,IBM,120.33,117.55,SHOP,120.33,117.55,LUV,30.81,28.8,KIM,8.69,8.2,Silver,30.44,29.45
92,2020-04-23,2735570,197152,IBM,123.03,119.12,SHOP,123.03,119.12,LUV,30.775,29.59,KIM,8.88,8.34,Silver,32.28,30.67
93,2020-04-24,2819666,203920,IBM,125.0,120.76,SHOP,125.0,120.76,LUV,30.43,28.8,KIM,8.97,8.38,Silver,31.94,30.42
94,2020-04-25,2901924,209547,IBM,,,SHOP,,,LUV,,,KIM,,,Silver,,
95,2020-04-26,2973512,213526,IBM,,,SHOP,,,LUV,,,KIM,,,Silver,,
96,2020-04-27,3043704,218271,IBM,126.99,125.47,SHOP,126.99,125.47,LUV,29.91,28.85,KIM,9.32,8.56,Silver,31.57,30.68
97,2020-04-28,3119244,224852,IBM,128.2,125.38,SHOP,128.2,125.38,LUV,30.48,28.25,KIM,10.38,9.81,Silver,31.8,30.84
98,2020-04-29,3196354,231572,IBM,129.31,127.53,SHOP,129.31,127.53,LUV,31.795,29.43,KIM,11.27,10.65,Silver,32.83,31.6
99,2020-04-30,3279849,237415,IBM,127.27,125.22,SHOP,127.27,125.22,LUV,31.69,30.18,KIM,11.04,10.44,Silver,32.47,30.84
100,2020-05-01,3368225,242562,IBM,123.47,121.39,SHOP,123.47,121.39,LUV,30.955,28.75,KIM,10.68,10.25,Silver,32.07,30.26
101,2020-05-02,3447425,248058,IBM,,,SHOP,,,LUV,,,KIM,,,Silver,,
102,2020-05-03,3523798,251567,IBM,,,SHOP,,,LUV,,,KIM,,,Silver,,
103,2020-05-04,3601487,255778,IBM,121.97,119.39,SHOP,121.97,119.39,LUV,27.94,26.5,KIM,10.51,9.99,Silver,32.37,31.82
104,2020-05-05,3681989,261605,IBM,124.32,122.47,SHOP,124.32,122.47,LUV,28.13,26.175,KIM,10.91,10.35,Silver,32.89,31.79
105,2020-05-06,3772016,268107,IBM,124.05,122.41,SHOP,124.05,122.41,LUV,26.74,24.77,KIM,10.45,9.76,Silver,32.48,31.67
106,2020-05-07,3860723,273413,IBM,123.26,120.85,SHOP,123.26,120.85,LUV,26.27,24.95,KIM,10.34,9.85,Silver,33.5,31.9
107,2020-05-08,3951001,278963,IBM,123.23,121.06,SHOP,123.23,121.06,LUV,27.23,25.91,KIM,11.09,10.16,Silver,33.88,33.01
108,2020-05-09,4036224,283187,IBM,,,SHOP,,,LUV,,,KIM,,,Silver,,
